datasetid,site,database
14110,Kelly's Lough,European Pollen Database
14997,Round Pond,North American Pollen Database
14999,Deep Pond,North American Pollen Database
15306,Rio Rubens Bog,Latin American Pollen Database
17344,Diheen,European Pollen Database
18159,Mod Pond,North American Pollen Database
19358,Panther Potholes,North American Pollen Database
20304,Hunters Lake,North American Pollen Database
20613,Plan B Pond,North American Pollen Database
20616,Bison Lake,North American Pollen Database
20631,Lake Pleasant,North American Pollen Database
20758,Bolan Lake,North American Pollen Database
22244,Quidi Vidi Lake,North American Pollen Database
25511,Lake Vera,Indo-Pacific Pollen Database
26313,Quamichan Lake,North American Pollen Database
26315,Florence Lake,North American Pollen Database
32262,San Jorge,Latin American Pollen Database
39749,Big Moose Lake,North American Pollen Database
40797,Blaney's Pond,North American Pollen Database
41146,Summit Lake,North American Pollen Database
41171,Hinman Lake,North American Pollen Database
41762,Foy Lake,North American Pollen Database
41864,Lake WA01,North American Pollen Database
46488,Lake Kharinei,Alpine Pollen Database
